date,avgtemp,evaporation,H,Q,rainfall
01/1/2008,14.9,3.0,493.0,1080.0,0.0
02/1/2008,13.2,3.4,460.0,1020.0,0.0
03/1/2008,13.2,3.4,460.0,1290.0,0.0
04/1/2008,14.5,2.8,477.0,1400.0,0.0
05/1/2008,15.7,2.1,475.0,1600.0,0.0
06/1/2008,17.7,3.0,473.0,1880.0,0.0
07/1/2008,18.9,1.6,474.0,1300.0,0.0
08/1/2008,18.8,1.3,476.0,1610.0,0.0
09/1/2008,21.6,2.0,471.0,1780.0,0.0
10/1/2008,21.8,2.4,476.0,1810.0,0.0
11/1/2008,22.3,2.2,480.0,1580.0,0.0
12/1/2008,22.6,2.4,481.0,1580.0,0.0
13/1/2008,22.2,2.1,494.0,1540.0,0.0
14/1/2008,14.8,2.0,494.0,1190.0,0.0
15/1/2008,11.7,0.9,498.0,1310.0,1.3
16/1/2008,12.6,0.9,491.0,1490.0,0.3
17/1/2008,14.0,1.4,477.0,1480.0,0.0
18/1/2008,14.1,1.6,485.0,1780.0,0.0
19/1/2008,14.0,0.4,479.0,2140.0,0.7
20/1/2008,16.3,0.9,485.0,2380.0,0.0
21/1/2008,14.6,0.5,513.0,2400.0,2.1
22/1/2008,11.9,0.2,522.0,2230.0,3.0
23/1/2008,12.2,0.7,521.0,2170.0,1.0
24/1/2008,13.1,1.4,524.0,1980.0,0.4
25/1/2008,11.7,0.3,529.0,1860.0,12.5
26/1/2008,13.0,0.6,531.0,2040.0,0.0
27/1/2008,11.9,1.5,530.0,2200.0,0.0
28/1/2008,10.0,0.1,532.0,1750.0,1.8
29/1/2008,10.8,0.5,524.0,1310.0,2.5
30/1/2008,10.3,0.2,520.0,1230.0,5.2
31/1/2008,9.3,1.0,499.0,1440.0,4.8
1/2/2008,7.6,0.2,514.0,1620.0,4.6
2/2/2008,9.3,0.5,507.0,1900.0,10.1
3/2/2008,11.7,1.0,500.0,2200.0,0.0
4/2/2008,12.3,2.4,497.0,2550.0,0.0
5/2/2008,12.3,0.8,462.0,2200.0,1.1
6/2/2008,12.8,1.4,452.0,1790.0,0.0
7/2/2008,12.8,1.4,436.0,1550.0,0.0
8/2/2008,12.8,1.6,453.0,1290.0,0.0
9/2/2008,12.8,1.8,483.0,1040.0,0.0
10/2/2008,11.9,2.3,479.0,919.0,0.0
11/2/2008,11.0,1.6,461.0,777.0,0.0
12/2/2008,12.1,1.9,435.0,730.0,0.0
13/2/2008,11.8,2.2,426.0,887.0,0.0
14/2/2008,11.8,2.8,474.0,974.0,0.3
15/2/2008,13.5,2.1,483.0,990.0,0.0
16/2/2008,14.0,2.0,507.0,1050.0,0.0
17/2/2008,12.5,0.8,519.0,1060.0,0.0
18/2/2008,12.2,0.3,502.0,937.0,3.2
19/2/2008,12.5,0.3,477.0,1190.0,3.4
20/2/2008,13.8,0.7,466.0,1500.0,0.1
21/2/2008,16.6,2.1,436.0,1620.0,0.0
22/2/2008,18.4,2.4,462.0,1480.0,0.0
23/2/2008,19.9,2.8,467.0,1370.0,0.0
24/2/2008,19.6,2.2,466.0,1270.0,0.0
25/2/2008,19.0,0.9,465.0,1070.0,0.0
26/2/2008,17.7,1.2,464.0,1240.0,3.4
27/2/2008,15.1,2.2,459.0,1660.0,0.0
28/2/2008,14.7,2.7,441.0,2320.0,0.5
29/2/2008,15.1,2.6,567.0,2420.0,2.7
1/3/2008,16.0,2.6,443.0,1890.0,0.0
2/3/2008,17.9,3.2,433.0,1550.0,0.0
3/3/2008,18.8,3.7,428.0,1690.0,0.0
4/3/2008,19.1,4.6,433.0,1880.0,0.0
5/3/2008,18.1,2.3,439.0,2000.0,0.0
6/3/2008,19.8,2.1,419.0,1740.0,0.0
7/3/2008,20.6,2.5,401.0,1440.0,0.0
8/3/2008,20.6,2.6,420.0,1300.0,0.0
9/3/2008,19.8,1.6,433.0,1060.0,0.0
10/3/2008,19.6,1.2,441.0,805.0,0.0
11/3/2008,21.3,1.7,434.0,1000.0,0.0
12/3/2008,21.4,2.5,444.0,1220.0,4.1
13/3/2008,20.3,1.1,519.0,1340.0,0.0
14/3/2008,20.9,0.9,525.0,1390.0,0.8
15/3/2008,21.7,1.6,508.0,1480.0,0.0
16/3/2008,22.2,0.9,513.0,1700.0,0.2
17/3/2008,23.2,1.1,506.0,1770.0,1.2
18/3/2008,23.1,1.1,462.0,1650.0,0.2
19/3/2008,22.7,1.2,445.0,1380.0,1.6
20/3/2008,24.0,1.6,440.0,1380.0,0.0
21/3/2008,25.2,2.3,425.0,1470.0,0.0
22/3/2008,22.9,1.3,451.0,1450.0,0.5
23/3/2008,21.9,3.3,477.0,1380.0,1.8
24/3/2008,21.6,3.6,512.0,1280.0,0.0
25/3/2008,21.7,2.5,547.0,1320.0,0.0
26/3/2008,22.4,2.7,562.0,1330.0,0.0
